Долгота;Широта;Наименование
27.469098;53.836684;Биологический факультет
27.532312;53.905668;Факультет журналистики
27.547153;53.893869;Факультет прикладной математики и информатики
27.532312;53.905668;Факультет философии и социальных наук
27.549318;53.893185;Химический факультет
27.548267;53.892373;Факультет международных отношений
27.564230;53.892548;Военный факультет
27.566763;53.899812;Исторический факультет
27.476401;53.837901;Факультет радиофизики и компьютерных технологий
27.545140;53.892750;Физический факультет
27.559136;53.898968;Экономический факультет
27.548347;53.893190;Факультет географии и геоинформатики
27.547153;53.893869;Механико-математический факультет
27.476401;53.837901;Факультет социокультурных коммуникаций
27.559136;53.898968;Филологический факультет
27.550090;53.894246;Юридический факультет
27.546102;53.905997;Институт бизнеса Белорусского государственного университета
27.551411;53.901896;Республиканский институт китаеведения имени Конфуция
27.566053;53.896814;Лицей им. Ф.Э. Дзержинского БГУ
27.602264;53.916499;Институт дополнительного образования
27.613933;53.892845;Международный государственный экологический институт имени А.Д.Сахарова БГУ
27.532312;53.905668;Институт повышения квалификации и переподготовки в области технологий информатизации и управления БГУ
27.555121;53.900400;Юридический колледж БГУ
27.563780;53.902549;Институт теологии имени святых Мефодия и Кирилла БГУ
27.543523;53.894363;Институт переподготовки и повышения квалификации судей, работников прокуратуры, судов и учреждений юстиции БГУ
27.545140;53.892750;Совместный институт БГУ и Даляньского политехнического университета
27.545554;53.893026;Ректорат
27.549376;53.893246;Учреждение БГУ "НИИ физико-химических проблем"
27.475356;53.837348;Научно-исследовательское учреждение "Институт прикладных физических проблем им. А. Н. Севченко" БГУ
27.475356;53.837348;Учреждение БГУ "Национальный научно-исследовательский центр мониторинга озоносферы"
27.547027;53.892739;Научно исследовательское учреждение "Институт ядерных проблем" БГУ
27.475323;53.837333;Научно-методическое учреждение "Республиканский центр проблем человека"
27.547153;53.893869;Учреждение БГУ "Научно-исследовательский институт прикладных проблем математики и информатики"
27.546209;53.892543;Главное хозяйственное управление
27.565882;53.892033;Спортивный клуб БГУ
27.606208;53.896459;Управление редакционно-издательской работы
27.547171;53.892346;Главное управление бухгалтерского учета и финансов
27.566763;53.899812;Республиканское унитарное предприятие "Издательский центр Белорусского государственного университета" (УП "Издательский центр БГУ")
27.477021;53.839654;Научно-производственное республиканское унитарное предприятие "Унидрагмет БГУ" (УП "Унидрагмет БГУ")
27.458363;53.828846;Учебно-опытное республиканское унитарное предприятие "Щемыслица" Белорусского государственного университета (УП "Щемыслица" БГУ)
27.602264;53.916499;Республиканское научно-исследовательское унитарное предприятие "Центр информационных ресурсов и коммуникаций" (Государственное предприятие "Центр информационных ресурсов и коммуникаций")
27.558858;53.890500;Общежитие №1
27.564607;53.893079;Общежитие №2
27.471155;53.837758;Общежитие №3
27.485474;53.856891;Общежитие №4
27.564230;53.892548;Общежитие №5
27.567221;53.892039;Общежитие №6
27.567149;53.891248;Общежитие №7
27.556621;53.918699;Общежитие №8
27.471479;53.838533;Общежитие №10
27.483794;53.859945;Общежитие №11











27.602264;53.916499;Учебно-научно-производственное республиканское унитарное предприятие «УНИТЕХПРОМ БГУ» (УП «УНИТЕХПРОМ БГУ»)
